pmid,pmcid,doi,title,authors,year,month,day,journal,volume,issue,pages,abstract
27372336,PMC5205581,10.1007/s00429-016-1264-3,A seed-based cross-modal comparison of brain connectivity measures.,"['Reid AT', 'Hoffstaedter F', 'Gong G', 'Laird AR', 'Fox P', 'Evans AC', 'Amunts K', 'Eickhoff SB']",2017,4,23,Brain Struct Funct,222,3,1131-1151,"Human neuroimaging methods have provided a number of means by which the connectivity structure of the human brain can be inferred. For instance, correlations in blood-oxygen-level-dependent (BOLD) signal time series are commonly used to make inferences about ""functional connectivity."" Correlations across samples in structural morphometric measures, such as voxel-based morphometry (VBM) or cortical thickness (CT), have also been used to estimate connectivity, putatively through mutually trophic effects on connected brain areas. In this study, we have compared seed-based connectivity estimates obtained from four common correlational approaches: resting-state functional connectivity (RS-fMRI), meta-analytic connectivity modeling (MACM), VBM correlations, and CT correlations. We found that the two functional approaches (RS-fMRI and MACM) had the best agreement. While the two structural approaches (CT and VBM) had better-than-random convergence, they were no more similar to each other than to the functional approaches. The degree of correspondence between modalities varied considerably across seed regions, and also depended on the threshold applied to the connectivity distribution. These results demonstrate some degrees of similarity between connectivity inferred from structural and functional covariances, particularly for the most robust functionally connected regions (e.g., the default mode network). However, they also caution that these measures likely capture very different aspects of brain structure and function."
27339689,PMC5003731,10.1016/j.neubiorev.2016.06.025,A neural circuit encoding sexual preference in humans.,"['Poeppl TB', 'Langguth B', 'Rupprecht R', 'Laird AR', 'Eickhoff SB']",2016,9,23,Neurosci Biobehav Rev,68,,530-536,"Sexual preference determines mate choice for reproduction and hence guarantees conservation of species in mammals. Despite this fundamental role in human behavior, current knowledge on its target-specific neurofunctional substrate is based on lesion studies and therefore limited. We used meta-analytic remodeling of neuroimaging data from 364 human subjects with diverse sexual interests during sexual stimulation to quantify neural regions associated with sexual preference manipulations. We found that sexual preference is encoded by four phylogenetically old, subcortical brain structures. More specifically, sexual preference is controlled by the anterior and preoptic area of the hypothalamus, the anterior and mediodorsal thalamus, the septal area, and the perirhinal parahippocampus including the dentate gyrus. In contrast, sexual non-preference is regulated by the substantia innominata. We anticipate the identification of a core neural circuit for sexual preferences to be a starting point for further sophisticated investigations into the neural principles of sexual behavior and particularly of its aberrations."
27251183,PMC4890474,10.1186/s12993-016-0100-5,Chronic cigarette smoking is linked with structural alterations in brain regions showing acute nicotinic drug-induced functional modulations.,"['Sutherland MT', 'Riedel MC', 'Flannery JS', 'Yanes JA', 'Fox PT', 'Stein EA', 'Laird AR']",2016,6,2,Behav Brain Funct,12,1,16,"BACKGROUND: Whereas acute nicotine administration alters brain function which may, in turn, contribute to enhanced attention and performance, chronic cigarette smoking is linked with regional brain atrophy and poorer cognition. However, results from structural magnetic resonance imaging (MRI) studies comparing smokers versus nonsmokers have been inconsistent and measures of gray matter possess limited ability to inform functional relations or behavioral implications. The purpose of this study was to address these interpretational challenges through meta-analytic techniques in the service of clarifying the impact of chronic smoking on gray matter integrity and more fully contextualizing such structural alterations. METHODS: We first conducted a coordinate-based meta-analysis of structural MRI studies to identify consistent structural alterations associated with chronic smoking. Subsequently, we conducted two additional meta-analytic assessments to enhance insight into potential functional and behavioral relations. Specifically, we performed a multimodal meta-analytic assessment to test the structural-functional hypothesis that smoking-related structural alterations overlapped those same regions showing acute nicotinic drug-induced functional modulations. Finally, we employed database driven tools to identify pairs of structurally impacted regions that were also functionally related via meta-analytic connectivity modeling, and then delineated behavioral phenomena associated with such functional interactions via behavioral decoding. RESULTS: Across studies, smoking was associated with convergent structural decreases in the left insula, right cerebellum, parahippocampus, multiple prefrontal cortex (PFC) regions, and the thalamus. Indicating a structural-functional relation, we observed that smoking-related gray matter decreases overlapped with the acute functional effects of nicotinic agonist administration in the left insula, ventromedial PFC, and mediodorsal thalamus. Suggesting structural-behavioral implications, we observed that the left insula's task-based, functional interactions with multiple other structurally impacted regions were linked with pain perception, the right cerebellum's interactions with other regions were associated with overt body movements, interactions between the parahippocampus and thalamus were linked with memory processes, and interactions between medial PFC regions were associated with face processing. CONCLUSIONS: Collectively, these findings emphasize brain regions (e.g., ventromedial PFC, insula, thalamus) critically linked with cigarette smoking, suggest neuroimaging paradigms warranting additional consideration among smokers (e.g., pain processing), and highlight regions in need of further elucidation in addiction (e.g., cerebellum)."
27241201,PMC5441272,10.1016/j.neubiorev.2016.02.024,Left inferior parietal lobe engagement in social cognition and language.,"['Bzdok D', 'Hartwigsen G', 'Reid A', 'Laird AR', 'Fox PT', 'Eickhoff SB']",2016,9,23,Neurosci Biobehav Rev,68,,319-334,"Social cognition and language are two core features of the human species. Despite distributed recruitment of brain regions in each mental capacity, the left parietal lobe (LPL) represents a zone of topographical convergence. The present study quantitatively summarizes hundreds of neuroimaging studies on social cognition and language. Using connectivity-based parcellation on a meta-analytically defined volume of interest (VOI), regional coactivation patterns within this VOI allowed identifying distinct subregions. Across parcellation solutions, two clusters emerged consistently in rostro-ventral and caudo-ventral aspects of the parietal VOI. Both clusters were functionally significantly associated with social-cognitive and language processing. In particular, the rostro-ventral cluster was associated with lower-level processing facets, while the caudo-ventral cluster was associated with higher-level processing facets in both mental capacities. Contrarily, in the (less stable) dorsal parietal VOI, all clusters reflected computation of general-purpose processes, such as working memory and matching tasks, that are frequently co-recruited by social or language processes. Our results hence favour a rostro-caudal distinction of lower- versus higher-level processes underlying social cognition and language in the left inferior parietal lobe."
27230218,PMC4961028,10.1093/cercor/bhw157,The Human Brainnetome Atlas: A New Brain Atlas Based on Connectional Architecture.,"['Fan L', 'Li H', 'Zhuo J', 'Zhang Y', 'Wang J', 'Chen L', 'Yang Z', 'Chu C', 'Xie S', 'Laird AR', 'Fox PT', 'Eickhoff SB', 'Yu C', 'Jiang T']",2016,8,23,Cereb Cortex,26,8,3508-26,"The human brain atlases that allow correlating brain anatomy with psychological and cognitive functions are in transition from ex vivo histology-based printed atlases to digital brain maps providing multimodal in vivo information. Many current human brain atlases cover only specific structures, lack fine-grained parcellations, and fail to provide functionally important connectivity information. Using noninvasive multimodal neuroimaging techniques, we designed a connectivity-based parcellation framework that identifies the subdivisions of the entire human brain, revealing the in vivo connectivity architecture. The resulting human Brainnetome Atlas, with 210 cortical and 36 subcortical subregions, provides a fine-grained, cross-validated atlas and contains information on both anatomical and functional connections. Additionally, we further mapped the delineated structures to mental processes by reference to the BrainMap database. It thus provides an objective and stable starting point from which to explore the complex relationships between structure, connectivity, and function, and eventually improves understanding of how the human brain works. The human Brainnetome Atlas will be made freely available for download at http://atlas.brainnetome.org, so that whole brain parcellations, connections, and functional data will be readily available for researchers to use in their investigations into healthy and pathological states."
27211526,PMC5003685,10.1016/j.neubiorev.2016.05.012,Different involvement of subregions within dorsal premotor and medial frontal cortex for pro- and antisaccades.,"['Cieslik EC', 'Seidler I', 'Laird AR', 'Fox PT', 'Eickhoff SB']",2016,9,23,Neurosci Biobehav Rev,68,,256-269,"The antisaccade task has been widely used to investigate cognitive action control. While the general network for saccadic eye movements is well defined, the exact location of eye fields within the frontal cortex strongly varies between studies. It is unknown whether this inconsistency reflects spatial uncertainty or is the result of different involvement of subregions for specific aspects of eye movement control. The aim of the present study was to examine functional differentiations within the frontal cortex by integrating results from neuroimaging studies analyzing pro- and antisaccade behavior using meta-analyses. The results provide evidence for a differential functional specialization of neighboring oculomotor frontal regions, with lateral frontal eye fields (FEF) and supplementary eye field (SEF) more often involved in prosaccades while medial FEF and anterior midcingulate cortex (aMCC) revealed consistent stronger involvement for antisaccades. This dissociation was furthermore mirrored by functional connectivity analyses showing that the lateral FEF and SEF are embedded in a motor output network, while medial FEF and aMCC are integrated in a multiple demand network."
27179606,PMC4981641,10.1016/j.neuroimage.2016.04.072,"Behavior, sensitivity, and power of activation likelihood estimation characterized by massive empirical simulation.","['Eickhoff SB', 'Nichols TE', 'Laird AR', 'Hoffstaedter F', 'Amunts K', 'Fox PT', 'Bzdok D', 'Eickhoff CR']",2016,8,15,Neuroimage,137,,70-85,"Given the increasing number of neuroimaging publications, the automated knowledge extraction on brain-behavior associations by quantitative meta-analyses has become a highly important and rapidly growing field of research. Among several methods to perform coordinate-based neuroimaging meta-analyses, Activation Likelihood Estimation (ALE) has been widely adopted. In this paper, we addressed two pressing questions related to ALE meta-analysis: i) Which thresholding method is most appropriate to perform statistical inference? ii) Which sample size, i.e., number of experiments, is needed to perform robust meta-analyses? We provided quantitative answers to these questions by simulating more than 120,000 meta-analysis datasets using empirical parameters (i.e., number of subjects, number of reported foci, distribution of activation foci) derived from the BrainMap database. This allowed to characterize the behavior of ALE analyses, to derive first power estimates for neuroimaging meta-analyses, and to thus formulate recommendations for future ALE studies. We could show as a first consequence that cluster-level family-wise error (FWE) correction represents the most appropriate method for statistical inference, while voxel-level FWE correction is valid but more conservative. In contrast, uncorrected inference and false-discovery rate correction should be avoided. As a second consequence, researchers should aim to include at least 20 experiments into an ALE meta-analysis to achieve sufficient power for moderate effects. We would like to note, though, that these calculations and recommendations are specific to ALE and may not be extrapolated to other approaches for (neuroimaging) meta-analysis."
27090056,,10.1002/hbm.23217,Imbalance in subregional connectivity of the right temporoparietal junction in major depression.,"['Poeppl TB', 'Muller VI', 'Hoffstaedter F', 'Bzdok D', 'Laird AR', 'Fox PT', 'Langguth B', 'Rupprecht R', 'Sorg C', 'Riedl V', 'Goya-Maldonado R', 'Gruber O', 'Eickhoff SB']",2016,8,23,Hum Brain Mapp,37,8,2931-42,"Major depressive disorder (MDD) involves impairment in cognitive and interpersonal functioning. The right temporoparietal junction (RTPJ) is a key brain region subserving cognitive-attentional and social processes. Yet, findings on the involvement of the RTPJ in the pathophysiology of MDD have so far been controversial. Recent connectivity-based parcellation data revealed a topofunctional dualism within the RTPJ, linking its anterior and posterior part (aRTPJ/pRTPJ) to antagonistic brain networks for attentional and social processing, respectively. Comparing functional resting-state connectivity of the aRTPJ and pRTPJ in 72 MDD patients and 76 well-matched healthy controls, we found a seed (aRTPJ/pRTPJ) x diagnosis (MDD/controls) interaction in functional connectivity for eight regions. Employing meta-data from a large-scale neuroimaging database, functional characterization of these regions exhibiting differentially altered connectivity with the aRTPJ/pRTPJ revealed associations with cognitive (dorsolateral prefrontal cortex, parahippocampus) and behavioral (posterior medial frontal cortex) control, visuospatial processing (dorsal visual cortex), reward (subgenual anterior cingulate cortex, medial orbitofrontal cortex, posterior cingulate cortex), as well as memory retrieval and social cognition (precuneus). These findings suggest that an imbalance in connectivity of subregions, rather than disturbed connectivity of the RTPJ as a whole, characterizes the connectional disruption of the RTPJ in MDD. This imbalance may account for key symptoms of MDD in cognitive, emotional, and social domains. Hum Brain Mapp 37:2931-2942, 2016. (c) 2016 Wiley Periodicals, Inc."
27039344,PMC5103027,10.1016/j.neubiorev.2016.03.026,Structural and functional neural adaptations in obstructive sleep apnea: An activation likelihood estimation meta-analysis.,"['Tahmasian M', 'Rosenzweig I', 'Eickhoff SB', 'Sepehry AA', 'Laird AR', 'Fox PT', 'Morrell MJ', 'Khazaie H', 'Eickhoff CR']",2016,6,23,Neurosci Biobehav Rev,65,,142-56,"Obstructive sleep apnea (OSA) is a common multisystem chronic disorder. Functional and structural neuroimaging has been widely applied in patients with OSA, but these studies have often yielded diverse results. The present quantitative meta-analysis aims to identify consistent patterns of abnormal activation and grey matter loss in OSA across studies. We used PubMed to retrieve task/resting-state functional magnetic resonance imaging and voxel-based morphometry studies. Stereotactic data were extracted from fifteen studies, and subsequently tested for convergence using activation likelihood estimation. We found convergent evidence for structural atrophy and functional disturbances in the right basolateral amygdala/hippocampus and the right central insula. Functional characterization of these regions using the BrainMap database suggested associated dysfunction of emotional, sensory, and limbic processes. Assessment of task-based co-activation patterns furthermore indicated that the two regions obtained from the meta-analysis are part of a joint network comprising the anterior insula, posterior-medial frontal cortex and thalamus. Taken together, our findings highlight the role of right amygdala, hippocampus and insula in the abnormal emotional and sensory processing in OSA."
26750447,,10.1111/desc.12400,"Functional connectivity of brain regions for self- and other-evaluation in children, adolescents and adults with autism.","['Burrows CA', 'Laird AR', 'Uddin LQ']",2016,7,23,Dev Sci,19,4,564-80,"Developing strong ties between oneself and others lays the foundation for developing social competence. Neuroimaging studies have consistently identified specific cortical midline regions activated during evaluative judgments about the self and others. Individuals with autism spectrum disorder (ASD) process self-relevant information differently from their peers, both behaviorally and at the neural level. We compared resting-state functional connectivity (rsFC) of regions involved in self-referential (e.g. medial prefrontal cortex; mPFC) and other-referential (e.g. posterior cingulate cortex; PCC) processing between neurotypical individuals and individuals with ASD in three age cohorts using regions of interest (ROIs) identified through an activation likelihood estimation meta-analysis. Typically developing children demonstrated greater connectivity within the midline self- and other-referential networks compared with age-matched children with ASD. No group differences in rsFC of mPFC or PCC emerged between typically developing adolescents and adolescents with ASD. Neurotypical adults exhibited stronger rsFC of the PCC with orbitofrontal cortex compared with adults with ASD. Developmental differences in functional connectivity between areas underlying self- and other-referential thought may explain altered developmental trajectories in the understanding of self and others in individuals with ASD."
